index,ellipse_angle_deg,ellipse_angle_derivative
36357,52.43,-4.219999999999999
36387,50.82,-1.1400000000000006
36408,48.21,-3.039999999999999
36474,43.68,-8.770000000000003
36513,49.35,-3.0799999999999983
36552,55.11,-1.0300000000000011
36573,49.74,-5.739999999999995
36612,48.25,-4.57
36642,43.62,-6.8700000000000045
36680,50.81,-25.870000000000005
36699,48.04,-6.5
36765,48.93,-3.3599999999999994
36797,46.84,-1.0999999999999943
36816,50.57,-1.259999999999998
36857,51.0,-6.659999999999997
36905,49.31,-1.5599999999999952
36954,50.68,-4.219999999999999
36975,48.51,-3.3599999999999994
37005,49.95,-3.799999999999997
37053,48.36,-2.270000000000003
37074,46.55,-5.550000000000004
37170,55.16,-1.4100000000000037
37229,51.47,-1.2100000000000009
37277,50.54,-2.3599999999999994
37296,48.18,-5.719999999999999
37377,48.12,-4.450000000000003
37434,50.83,-1.6799999999999995
37464,52.94,-2.390000000000001
37493,54.32,-3.9099999999999966
37580,53.05,-1.6300000000000026
37667,48.87,-3.760000000000005
37697,42.39,-7.339999999999996
37758,55.5,-4.640000000000001
37875,48.37,-5.850000000000001
37914,46.83,-4.380000000000003
37962,50.78,-2.5
38022,49.1,-6.530000000000001
38109,47.73,-7.970000000000006
38130,47.75,-5.399999999999999
38228,45.57,-1.4099999999999966
38268,44.94,-3.910000000000004
38298,47.51,-1.0700000000000005
38337,47.36,-6.57
38368,53.59,-1.0499999999999972
38446,49.47,-4.289999999999999
38492,49.98,-3.870000000000005
38552,42.6,-5.629999999999996
38582,50.11,-1.75
38678,53.48,-2.280000000000001
38726,46.88,-3.75
38776,53.0,-1.9699999999999989
38795,47.47,-36.78
38815,45.73,-2.9000000000000057
38843,43.93,-4.509999999999998
38873,45.0,-4.210000000000001
39050,51.19,-1.75
39070,52.82,-2.6700000000000017
39098,49.88,-31.99
39118,50.36,-4.230000000000004
39176,48.64,-3.369999999999997
39226,49.86,-4.299999999999997
39265,50.39,-4.210000000000001
39294,49.16,-5.850000000000001
39312,47.17,-4.339999999999996
39332,50.87,-1.740000000000002
39352,50.4,-2.770000000000003
39389,49.78,-4.019999999999996
39419,47.81,-5.739999999999995
39440,42.58,-5.670000000000002
39469,45.27,-2.239999999999995
39497,47.39,-1.8699999999999972
39545,52.07,-1.1499999999999986
39566,52.16,-1.1700000000000017
39584,39.16,-16.450000000000003
39662,49.52,-1.5
39692,50.57,-5.530000000000001
39721,50.25,-2.200000000000003
39770,50.28,-1.1899999999999975
39799,28.37,-22.48
39878,53.19,-1.1300000000000026
39896,52.05,-3.1500000000000057
39976,52.4,-1.740000000000002
39995,51.42,-1.6499999999999986
40025,49.45,-4.949999999999996
40084,44.76,-8.560000000000002
40112,45.47,-5.270000000000003
40132,46.38,-2.729999999999997
40160,52.93,-3.3100000000000023
40180,54.25,-1.5900000000000034
40228,51.73,-1.910000000000004
40288,52.43,-1.5900000000000034
40310,52.23,-1.4000000000000057
40348,45.51,-1.2600000000000051
40439,49.37,-2.160000000000004
40459,50.54,-3.619999999999997
40478,51.51,-2.5700000000000003
40496,49.36,-5.609999999999999
40517,46.03,-6.689999999999998
40535,47.76,-2.4200000000000017
40604,50.28,-1.4200000000000017
40634,51.57,-4.509999999999998
40673,45.06,-1.25
40712,48.28,-4.490000000000002
40760,50.28,-1.8200000000000005
40790,54.73,-1.1300000000000026
40819,52.32,-3.770000000000003
40880,48.09,-3.219999999999999
40930,51.49,-3.979999999999997
40969,43.27,-2.75
40997,50.47,-1.4699999999999989
41063,51.23,-3.1300000000000026
41083,50.4,-2.8400000000000034
41111,49.85,-6.420000000000002
41197,51.28,-3.019999999999996
41216,49.86,-2.1000000000000014
41245,47.26,-7.25
41300,47.85,-5.309999999999995
41426,48.27,-7.119999999999997
41453,50.75,-2.8599999999999994
41492,49.36,-3.5900000000000034
41540,46.88,-4.789999999999999
41558,45.38,-1.6999999999999955
41606,47.13,-6.18
41744,49.96,-5.789999999999999
41792,48.22,-2.3299999999999983
41867,42.62,-2.0900000000000034
41887,44.79,-2.270000000000003
41906,43.19,-4.07
41944,49.61,-1.2000000000000028
42011,53.13,-3.18
42038,46.23,-7.470000000000006
42098,52.08,-4.060000000000002
42128,49.28,-4.379999999999996
42148,46.02,-3.809999999999995
42167,38.18,-8.270000000000003
42235,42.63,-3.8299999999999983
42253,45.0,-3.0700000000000003
42273,44.08,-2.3500000000000014
42312,46.01,-3.3100000000000023
42379,51.85,-2.8500000000000014
42399,47.61,-4.630000000000003
42427,46.53,-3.82
42475,50.08,-1.2600000000000051
42545,48.81,-4.369999999999997
42575,40.49,-4.439999999999998
42607,47.06,-2.729999999999997
42628,46.11,-3.5600000000000023
42657,45.75,-2.6599999999999966
42694,48.31,-2.25
42744,50.71,-3.1599999999999966
42811,51.0,-2.780000000000001
42882,52.42,-1.019999999999996
42931,48.74,-1.6400000000000006
42951,47.06,-3.1299999999999955
42991,42.85,-1.0300000000000011
43021,46.17,-7.329999999999998
43099,50.05,-1.4100000000000037
43128,50.55,-1.1799999999999995
43147,49.09,-2.509999999999998
43216,47.75,-2.1899999999999977
43312,50.6,-4.759999999999998
43359,47.06,-4.809999999999995
43428,46.56,-5.460000000000001
43477,46.02,-3.029999999999994
43557,49.14,-5.07
43576,49.18,-1.509999999999998
43594,49.85,-1.0799999999999983
43614,46.72,-7.670000000000002
43644,47.99,-1.7299999999999969
43663,47.14,-2.3800000000000026
43681,49.3,-2.890000000000001
43701,48.16,-1.6900000000000048
43768,47.94,-2.690000000000005
43828,45.75,-2.93
43888,45.15,-1.8700000000000043
43906,45.76,-3.510000000000005
43936,48.84,-4.93
43966,52.19,-1.5900000000000034
43986,50.32,-3.86
44014,45.46,-5.329999999999998
44044,47.96,-2.1499999999999986
44062,46.87,-1.1700000000000017
44110,51.17,-3.0799999999999983
44152,48.86,-1.6899999999999975
44310,43.49,-8.269999999999996
44332,47.95,-1.7999999999999972
44370,53.38,-1.509999999999998
44408,50.01,-3.82
44428,48.15,-2.5500000000000043
44488,48.4,-1.4400000000000048
44626,42.52,-5.939999999999998
44667,45.0,-1.6599999999999966
44725,48.64,-1.8500000000000012
44752,50.9,-1.5900000000000034
44832,48.59,-3.009999999999998
44860,47.06,-1.0999999999999943
44893,52.69,-1.5600000000000025
44962,48.28,-1.4699999999999989
45033,45.55,-1.9400000000000048
45091,45.91,-1.0
45181,51.19,-1.4600000000000009
45204,51.37,-1.5500000000000045
45243,45.51,-4.030000000000001
45262,46.22,-1.5399999999999991
45342,47.44,-2.6000000000000014
45370,43.08,-5.780000000000001
45391,39.81,-4.659999999999997
45430,44.38,-1.9099999999999968
45537,45.2,-2.6499999999999986
45556,49.45,-1.4099999999999966
45577,50.29,-2.1000000000000014
45606,48.07,-3.5899999999999963
45655,46.11,-2.1000000000000014
45694,46.3,-4.240000000000002
45733,49.46,-2.43
45853,49.14,-3.1499999999999986
45930,49.26,-3.3200000000000003
45960,48.58,-3.3100000000000023
46018,47.3,-6.730000000000004
46089,46.95,-2.9099999999999966
46137,48.99,-1.9699999999999989
46169,52.22,-4.090000000000003
46229,43.41,-2.940000000000005
46269,47.11,-1.5600000000000025
46330,48.69,-6.57
46449,46.78,-5.839999999999996
46508,47.78,-4.990000000000002
46527,50.19,-1.0300000000000011
46556,48.5,-3.3299999999999983
46584,44.74,-3.4099999999999966
46614,42.36,-2.700000000000003
46632,42.26,-4.780000000000001
46749,50.72,-3.5799999999999983
46809,47.95,-4.5
46857,48.18,-3.43
46877,46.58,-2.43
46896,47.12,-2.450000000000003
46946,47.31,-5.919999999999995
46985,43.6,-5.600000000000001
47004,41.03,-6.530000000000001
47121,44.51,-2.3100000000000023
47160,50.61,-1.1600000000000037
47180,50.29,-2.960000000000001
47199,48.29,-3.789999999999999
47219,48.83,-1.6300000000000026
47289,46.66,-3.700000000000003
47310,47.87,-1.3700000000000043
47340,48.78,-3.5
47370,49.3,-1.2000000000000028
47457,48.24,-1.6199999999999974
47636,48.08,-1.1200000000000043
47664,45.35,-5.079999999999998
47705,49.25,-1.3500000000000014
47735,48.39,-5.009999999999998
47756,47.05,-1.6000000000000014
47796,45.0,-6.030000000000001
47897,41.48,-2.660000000000004
47966,48.76,-1.0600000000000025
48006,50.43,-1.2100000000000009
48045,45.76,-3.780000000000001
48123,49.41,-2.3300000000000054
48195,40.4,-5.289999999999999
48234,37.62,-2.140000000000001
48293,40.74,-2.769999999999996
48461,41.08,-3.3000000000000043
48500,46.42,-2.0799999999999983
48530,43.95,-3.3299999999999983
48630,44.09,-2.3799999999999955
48678,44.02,-1.8699999999999972
48722,45.59,-2.1499999999999986
48791,45.77,-1.029999999999994
48830,38.18,-4.039999999999999
48944,39.5,-2.25
49041,43.59,-3.069999999999993
49109,48.26,-1.8599999999999997
49131,47.26,-1.3599999999999994
49160,46.94,-4.350000000000001
49199,39.44,-8.850000000000001
49247,44.8,-3.18
49335,50.24,-2.18
