index,ellipse_angle_deg,ellipse_angle_derivative
24327,42.6,-3.469999999999999
24347,37.96,-5.100000000000001
24386,41.63,-3.039999999999999
24405,39.75,-2.6099999999999994
24414,38.04,-1.7100000000000009
24444,41.74,-3.6699999999999946
24464,39.64,-3.9399999999999977
24501,42.2,-2.229999999999997
24519,40.98,-1.6500000000000057
24567,42.8,-3.1700000000000017
24586,39.59,-5.259999999999998
24654,41.47,-1.4500000000000028
24743,43.26,-1.5100000000000051
24762,42.54,-2.6700000000000017
24771,40.74,-1.7999999999999972
24781,39.05,-1.6900000000000048
24810,43.39,-1.6899999999999977
24839,40.79,-4.210000000000001
24878,38.8,-3.470000000000006
24915,39.57,-3.3699999999999974
24935,38.6,-2.1199999999999974
24953,36.38,-5.079999999999998
25010,39.62,-7.350000000000001
25049,39.87,-7.420000000000002
25098,39.97,-1.8299999999999983
25145,44.2,-1.4899999999999949
25164,40.74,-4.329999999999998
25182,38.3,-2.9200000000000017
25221,42.53,-2.9200000000000017
25239,38.02,-4.079999999999998
25278,41.64,-2.8500000000000014
25296,41.19,-1.230000000000004
25328,41.8,-2.270000000000003
25338,40.46,-1.3399999999999963
25385,40.8,-4.8700000000000045
25442,44.94,-2.719999999999999
25451,42.24,-2.6999999999999957
25461,38.3,-3.940000000000005
25481,44.34,-1.5499999999999972
25491,41.34,-3.0
25520,42.84,-2.9599999999999937
25541,41.93,-1.3299999999999983
25571,42.74,-1.4499999999999957
25637,41.35,-3.1799999999999997
25674,40.43,-3.1899999999999977
25701,41.22,-1.4200000000000017
25721,45.27,-1.0599999999999952
25739,45.96,-1.1799999999999997
25749,42.2,-3.759999999999998
25767,41.66,-2.270000000000003
25817,39.78,-4.089999999999996
25865,42.79,-2.1400000000000006
25874,38.79,-4.0
25941,40.37,-5.1200000000000045
25960,39.14,-2.4299999999999997
26037,47.21,-1.6099999999999994
26046,42.73,-4.480000000000004
26066,41.38,-1.7199999999999989
26085,42.76,-3.75
26096,37.92,-4.839999999999996
26133,43.45,-2.259999999999998
26142,42.42,-1.0300000000000011
26172,41.29,-1.259999999999998
26219,43.0,-1.5200000000000031
26229,41.12,-1.8800000000000026
26238,39.81,-1.3099999999999952
26285,41.78,-4.859999999999999
26295,40.51,-1.2700000000000031
26313,43.39,-1.240000000000002
26343,45.0,-3.6099999999999994
26361,43.3,-1.1700000000000017
26370,32.78,-10.519999999999996
26391,43.09,-1.0699999999999932
26424,42.95,-2.6199999999999974
26442,41.3,-4.080000000000005
26453,39.11,-2.1899999999999977
26522,43.5,-4.600000000000001
26532,42.11,-1.3900000000000006
26573,41.01,-3.020000000000003
26592,42.68,-1.4600000000000009
26601,39.15,-3.530000000000001
26650,40.98,-3.5400000000000063
26687,41.78,-3.4399999999999977
26705,40.03,-1.6899999999999977
26753,39.98,-5.450000000000003
26803,44.83,-2.3299999999999983
26822,41.67,-2.259999999999998
26879,41.24,-6.030000000000001
26890,40.22,-1.0200000000000031
26957,45.56,-2.0999999999999943
26966,43.92,-1.6400000000000006
26986,42.33,-1.0200000000000031
27014,41.59,-3.229999999999997
27042,40.64,-1.8999999999999986
27062,39.11,-1.6799999999999997
27089,44.6,-4.170000000000002
27110,42.77,-3.299999999999997
27149,41.54,-2.6700000000000017
27178,42.49,-1.5
