index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
22671,39.47,-0.990000000000002,15.0
22746,42.97,-0.9600000000000009,15.0
22764,36.5,-0.3299999999999983,15.0
22784,37.08,-2.0900000000000034,15.0
22812,40.8,-3.1500000000000057,15.0
22821,37.1,-3.6999999999999957,15.0
22872,40.28,-0.6000000000000014,15.0
22881,37.53,-2.75,15.0
22892,36.47,-1.0600000000000023,15.0
22920,35.67,-2.469999999999999,15.0
22968,38.87,-0.6300000000000026,15.0
22997,39.18,-2.460000000000001,15.0
23025,38.69,-0.4100000000000037,15.0
23052,43.72,-1.8000000000000043,15.0
23063,42.63,-1.0899999999999963,15.0
23093,40.24,-0.769999999999996,15.0
23160,42.52,-0.9699999999999989,15.0
23180,38.61,-0.18999999999999773,15.0
23198,37.53,-1.9799999999999969,15.0
23244,41.08,-0.6200000000000045,15.0
23255,38.82,-2.259999999999998,15.0
23264,36.82,-2.0,15.0
23274,35.45,-1.3699999999999974,15.0
23304,39.26,-2.8500000000000014,15.0
23331,39.3,-4.060000000000002,15.0
23340,37.31,-1.9899999999999949,15.0
23349,34.25,-3.0600000000000023,15.0
23378,37.38,-1.0999999999999943,15.0
23406,41.16,-2.3300000000000054,15.0
23454,39.87,-6.75,15.0
23463,37.49,-2.3799999999999955,15.0
23502,39.24,-2.969999999999999,15.0
23538,40.72,-2.8100000000000023,15.0
23579,40.34,-0.18999999999999773,15.0
23598,34.92,-0.6000000000000014,15.0
23618,37.73,-1.730000000000004,15.0
23637,39.34,-2.2099999999999937,15.0
23667,38.54,-0.10000000000000142,15.0
23685,39.52,-1.4299999999999997,15.0
23735,40.9,-0.28999999999999915,15.0
23744,39.49,-1.4099999999999966,15.0
23763,37.97,-2.6400000000000006,15.0
23774,35.81,-2.1599999999999966,15.0
23793,36.06,-2.799999999999997,15.0
23850,45.0,-1.1400000000000006,15.0
23859,40.2,-4.799999999999997,15.0
23870,37.7,-2.5,15.0
23889,39.33,-1.1300000000000026,15.0
23928,41.12,-2.6200000000000045,15.0
23955,39.53,-0.10999999999999943,15.0
23966,38.23,-1.3000000000000043,15.0
23985,37.96,-2.019999999999996,15.0
24012,42.13,-0.8599999999999994,15.0
24023,38.68,-3.450000000000003,15.0
24042,37.93,-1.7700000000000031,15.0
24060,42.67,-1.0599999999999952,15.0
24069,41.2,-1.4699999999999989,20.0
24078,39.43,-1.7700000000000031,20.0
24107,39.68,-0.03999999999999915,20.0
24135,39.44,-0.8900000000000006,20.0
24183,41.89,-0.509999999999998,20.0
24231,41.54,-0.7700000000000031,20.0
24249,42.12,-3.470000000000006,20.0
24269,42.79,-1.6400000000000006,20.0
24288,40.65,-0.9400000000000048,20.0
24327,42.6,-3.469999999999999,20.0
24366,41.52,-0.6799999999999997,20.0
24386,41.63,-3.039999999999999,20.0
